time,Lat.,Long.,Mw,magType
2024-09-04T10:43:17.777Z,39.5161,72.6525,4,mb
2024-09-03T15:47:00.523Z,41.1021,78.3906,4.3,mb
2024-09-03T06:09:44.771Z,38.3232,70.0235,4.2,mb
2024-09-02T01:05:59.476Z,36.0527,70.4973,4.3,mb
2024-08-31T03:05:28.023Z,36.0023,70.8217,4.2,mwr
2024-08-30T23:00:36.402Z,36.5411,71.1002,4.1,mwr
2024-08-30T00:30:49.063Z,36.4464,71.0013,4.2,mww
2024-08-29T22:05:03.448Z,37.5816,72.2879,4.2,mb
2024-08-29T05:56:40.251Z,36.5209,71.2507,5.2,mb
2024-08-28T13:07:18.961Z,37.4627,72.1832,4.1,mb
2024-08-27T07:29:09.028Z,37.7046,71.6425,4.9,mb
2024-08-26T04:36:54.626Z,37.5172,72.1043,4.2,mb
2024-08-24T18:49:08.485Z,36.6594,71.1113,4.2,mb
2024-08-23T20:33:00.927Z,39.7386,71.3316,4.4,mb
2024-08-22T22:47:35.821Z,36.5757,70.4973,4.1,mb
2024-08-22T02:24:27.797Z,38.1998,72.5699,4.3,mb
2024-08-21T21:14:38.083Z,41.3869,78.7316,4.4,mb
2024-08-21T16:52:25.115Z,34.2324,74.1045,3.6,mb
2024-08-20T01:22:26.354Z,34.1873,74.2881,4.5,mb
2024-08-20T01:15:55.090Z,34.1613,74.2677,5.1,mb
2024-08-18T10:57:07.120Z,36.5373,70.1073,4.4,mb
2024-08-18T10:21:50.360Z,41.3526,78.698,4.6,mb
2024-08-17T22:51:58.505Z,36.6324,71.032,4.4,mb
2024-08-16T01:05:19.080Z,37.1746,71.3538,4.5,mww
2024-08-15T05:14:01.991Z,36.4383,71.0434,4.1,mb
2024-08-14T19:36:11.278Z,36.509,70.8658,4.7,mb
2024-08-14T14:09:05.733Z,36.5946,70.9766,4.3,mb
2024-08-10T09:22:36.282Z,32.4711,67.4195,4.3,mb
2024-08-10T08:44:32.253Z,36.4869,71.1764,4.1,mwr
2024-08-10T05:26:39.368Z,42.1894,72.0133,4.2,mb
2024-08-09T04:23:35.025Z,31.6473,76.9775,3.6,mb
2024-08-08T07:13:00.828Z,39.525,73.29,4.2,mb
2024-08-08T01:18:18.442Z,36.5676,70.8933,4.5,mb
2024-08-06T01:32:31.780Z,40.0938,77.2986,3.9,mwr
2024-08-05T06:51:11.311Z,36.5636,70.9238,4.2,mb
2024-08-04T23:34:43.495Z,37.1157,71.8248,3.9,mb
2024-08-03T07:19:44.578Z,37.5217,72.275,4.2,mb
2024-08-02T05:39:37.225Z,40.349,65.0672,4.4,mb
2024-07-31T01:19:55.733Z,36.5056,70.1223,4.1,mb
2024-07-30T01:01:20.454Z,36.385,71.1706,4.2,mb
2024-07-29T07:56:10.009Z,36.5626,70.8993,4.1,mb
2024-07-29T06:06:28.589Z,36.2717,68.5191,4.4,mb
2024-07-27T15:46:59.802Z,36.477,71.1712,4,mb
2024-07-27T00:52:02.680Z,38.2154,73.2842,4.1,mb
2024-07-26T18:50:01.184Z,36.3736,71.022,3.9,mb
2024-07-25T09:49:28.273Z,37.1398,75.116,4.3,mb
2024-07-24T03:31:19.397Z,40.0362,76.5286,4.3,mb
2024-07-23T18:16:17.280Z,36.7219,71.2922,4,mb
2024-07-22T07:03:58.207Z,36.5031,70.3504,4.5,mb
2024-07-20T12:04:59.754Z,33.456,76.6373,4.1,mb
2024-07-20T02:07:34.866Z,40.3424,77.1066,4.2,mb
2024-07-18T18:14:42.634Z,36.5289,70.3719,4.9,mb
2024-07-14T21:33:18.571Z,30.4091,69.3062,5,mb
2024-07-13T16:18:29.679Z,36.7725,71.4264,4,mb
2024-07-12T22:33:48.231Z,36.0703,70.4397,4.2,mb
2024-07-12T06:56:22.699Z,34.1455,74.3501,4.4,mb
2024-07-10T08:52:41.628Z,37.1566,71.3917,4.2,mb
2024-07-08T15:50:53.000Z,36.5302,71.2625,4.2,mb
2024-07-07T05:11:25.335Z,36.5113,70.3055,4.3,mb
2024-07-06T21:17:07.705Z,36.228,71.4722,4.6,mb
2024-07-05T13:46:21.845Z,36.718,71.4514,4.3,mwr
2024-07-04T22:19:05.323Z,36.0907,74.5884,4.5,mb
2024-07-03T02:56:03.551Z,36.1662,74.6636,4,mb
2024-07-03T02:42:59.062Z,36.0926,74.6546,4.6,mb
2024-07-02T01:09:10.334Z,36.3332,70.9697,4.1,mb
2024-07-01T10:20:59.359Z,37.8663,73.2278,4.5,mb
2024-06-30T22:13:35.772Z,36.1755,74.7478,4.1,mww
2024-06-27T08:57:16.415Z,36.6058,70.4603,4.1,mb
2024-06-26T20:58:48.660Z,36.4074,69.7847,4.1,mb
2024-06-26T16:26:35.193Z,37.3238,71.9841,4.3,mb
2024-06-26T10:07:28.105Z,36.4396,70.3975,4.5,mb
2024-06-24T17:54:46.351Z,38.2507,73.6774,4.3,mb
2024-06-23T19:03:36.812Z,36.2321,71.2417,4,mb
2024-06-23T14:31:51.802Z,36.3328,70.3848,4.1,mwr
2024-06-20T11:36:08.905Z,40.1118,77.7976,5,mb
2024-06-19T12:09:43.534Z,41.6154,71.2068,4.4,mb
2024-06-19T04:17:38.705Z,34.893,70.2122,4.8,mb
2024-06-19T03:58:59.567Z,36.4053,71.3587,4,mb
2024-06-17T20:12:28.408Z,41.3829,72.8141,4,mb
2024-06-16T05:39:02.290Z,38.9491,75.2669,4.3,mb
2024-06-15T13:39:54.955Z,36.339,70.9332,4.3,mb
2024-06-14T20:53:13.508Z,37.3827,72.2097,4.2,mb
2024-06-11T23:06:19.857Z,36.0436,70.3688,4.2,mb
2024-06-11T06:27:08.787Z,39.0263,72.0695,4.1,mb
2024-06-11T04:13:15.075Z,38.0065,68.1284,4.2,mb
2024-06-10T20:45:34.531Z,36.4897,70.7965,4.4,mb
2024-06-10T03:14:51.726Z,37.9122,68.1858,4.5,mb
2024-06-09T04:57:54.836Z,36.2922,69.6463,4.1,mb
2024-06-08T10:11:42.225Z,36.646,71.0117,4.1,mb
2024-06-05T18:53:29.787Z,36.7503,71.3101,4,mb
2024-06-04T22:50:11.778Z,36.454,68.9467,4.2,mb
2024-06-04T22:08:38.017Z,36.5513,70.4478,4.1,mb
2024-06-03T03:48:24.271Z,38.5337,70.4655,4.4,mb
2024-06-02T08:23:12.056Z,37.6817,72.1867,4.4,mwr
2024-05-29T15:51:26.656Z,36.4947,70.3128,4.2,mb
2024-05-26T22:19:58.905Z,40.9307,78.2248,4.3,mb
2024-05-26T18:52:45.121Z,36.5395,70.8485,4.2,mb
2024-05-26T17:54:51.122Z,38.2811,75.086,4.3,mb
2024-05-25T13:15:30.656Z,36.9616,71.2957,4.3,mb
2024-05-24T18:39:29.663Z,36.7364,71.0679,4.1,mb
2024-05-24T06:05:23.050Z,37.0617,71.4729,4.2,mb
2024-05-22T19:03:34.588Z,38.1613,73.0196,4.3,mb
2024-05-22T13:19:38.931Z,36.4057,71.0783,4.6,mb
2024-05-21T04:26:45.450Z,37.251,71.4798,4.1,mb
2024-05-20T22:46:48.161Z,37.2387,71.7426,4.1,mb
2024-05-20T20:34:41.367Z,36.4966,70.3846,4.5,mwr
2024-05-20T18:31:33.451Z,41.5624,78.9548,4.3,mb
2024-05-20T05:10:23.334Z,40.1736,76.9561,5.1,mb
2024-05-20T00:19:18.737Z,35.2859,74.5697,4.3,mb
2024-05-18T19:38:47.929Z,36.355,76.9233,4.6,mb
2024-05-15T19:03:31.779Z,38.9173,70.8947,4.5,mb
2024-05-15T11:52:10.715Z,36.5017,71.1742,4.2,mb
2024-05-15T02:56:55.281Z,36.4552,71.1034,4.2,mb
2024-05-14T10:38:27.626Z,36.7023,71.0638,4,mb
2024-05-11T16:27:37.967Z,37.331,71.9314,4,mb
2024-05-10T01:52:24.137Z,37.2823,74.6493,4.5,mb
2024-05-08T04:51:46.983Z,36.4728,71.3484,4.1,mb
2024-05-06T13:06:04.877Z,36.5275,70.2909,4.1,mb
2024-05-06T04:12:58.429Z,42.8331,79.0969,4.3,mb
2024-05-03T05:53:49.312Z,36.4553,70.7444,4,mb
2024-05-03T03:50:43.574Z,36.1344,70.2508,4.2,mb
